2015-03-06 No# 1
Sent signal: 1
zDistance: 1
Cycles,Alpha,Ratio,Time Difference
1,-1.0,,0
2,-1.0,1.0,0
3,-1.0,1.0,0.0008050802575928391
4,-1.0,1.0,0.001346590129987002

2015-03-06 No# 2
Sent signal: 1
zDistance: 1
Cycles,Alpha,Ratio,Time Difference
1,-1.0,,0
2,-1.0,1.0,0
3,-1.0,1.0,0.0008908843238023788
4,-1.0,1.0,0.0015399571882869674

2015-03-06 No# 3
Sent signal: 1
zDistance: 1
Cycles,Alpha,Ratio,Time Difference
1,-1.0,,0
2,-1.0,1.0,0
3,-1.0,1.0,0.001063313547764129
4,-1.0,1.0,0.0020096215506970674

2015-03-06 No# 4
Sent signal: 1
zDistance: 1
Cycles,Alpha,Ratio,Time Difference
1,-1.0,,0
2,-1.0,1.0,0.026550405578167506
3,-1.0,1.0,0.027471670289048854
4,-1.0,1.0,0.02800168487984557

2015-03-06 No# 5
Sent signal: 1
zDistance: 1
Cycles,Alpha,Ratio,Time Difference
1,-1.0,,0
2,-1.0,1.0,0.027978283770879332
3,-1.0,1.0,0.028907759397187434
4,-1.0,1.0,0.029422994340215995

2015-03-06 No# 6
Sent signal: 1
zDistance: 1
Cycles,Alpha,Ratio,Time Difference
1,-1.0,,0
2,-1.0,1.0,0
3,-1.0,1.0,0.0009656036541858017
4,-1.0,1.0,0.0016696896520296163

2015-03-06 No# 7
Sent signal: 1
zDistance: 1
Cycles,Alpha,Ratio,Time Difference
1,-1.0,,0
2,-1.0,1.0,0
3,-1.0,1.0,0.0009093588835125642
4,-1.0,1.0,0.001592507047018167
